"NestID","bandid","startI","endI","CheckDate","NestFate"
"1005_2023_1","1005",2023-05-09,2023-06-05,"2023-06-05","Hatched"
"1007_2023_1","1007",2023-04-24,2023-05-03,"2023-05-05","Predation"
"1007_2023_2","1007",2023-05-27,2023-06-20,"2023-06-22","Predation"
"1013_2024_1","1013",2024-04-17,2024-04-26,"2024-04-26","Predation"
"1013_2024_2","1013",2024-06-02,2024-06-07,"2024-06-11","Predation"
"1015_2024_1","1015",2024-05-05,2024-05-30,"2024-05-30","Hatched"
"1017_2024_1","1017",2024-05-09,2024-05-10,"2024-06-05","Hatched"
"1018_2024_1","1018",2024-04-21,2024-04-24,"2024-04-24","Predation"
"1018_2024_2","1018",2024-05-13,2024-05-16,"2024-05-19","Predation"
"1020_2024_1","1020",2024-04-29,2024-05-09,"2024-05-10","Predation"
"1021_2024_2","1021",2024-06-02,2024-06-28,"2024-06-29","Hatched"
"1022_2024_1","1022",2024-04-17,2024-05-09,"2024-05-10","Predation"
"1023_2024_1","1023",2024-04-19,2024-05-15,"2024-05-16","Hatched"
"1024_2024_1","1024",2024-04-25,2024-05-05,"2024-05-22","Hatched"
"1025_2024_1","1025",2024-04-25,2024-05-04,"2024-05-22","Hatched"
"1026_2024_1","1026",2024-04-25,2024-05-03,"2024-05-03","Predation"
"1026_2024_2","1026",2024-05-26,2024-06-19,"2024-06-20","Predation"
"1027_2024_2","1027",2024-05-04,2024-05-30,"2024-05-31","Hatched"
"1051_2023_1","1051",2023-04-21,2023-05-17,"2023-05-17","Hatched"
"10511_2024_1","10511",2024-04-24,2024-05-19,"2024-05-21","Hatched"
"1052_2023_1","1052",2023-04-25,2023-05-03,"2023-05-05","Predation"
"1054_2023_1","1054",2023-05-03,2023-05-30,"2023-05-30","Hatched"
"1055_2023_2","1055",2023-05-19,2023-06-05,"2023-06-07","Predation"
"1057_2023_3","1057",2023-06-09,2023-07-06,"2023-07-06","Predation"
"1059_2023_1","1059",2023-05-19,2023-05-29,"2023-06-14","Hatched"
"1064_2023_1","1064",2023-04-22,2023-05-02,"2023-05-05","Predation"
"1066_2023_1","1066",2023-05-05,2023-05-24,"2023-05-26","Predation"
"1072_2023_2","1072",2023-05-27,2023-06-04,"2023-06-05","Predation"
"1072_2024_1","1072",2024-04-27,2024-05-23,"2024-05-24","Hatched"
"1077_2023_1","1077",2023-04-23,2023-05-04,"2023-05-08","Predation"
"1079_2023_1","1079",2023-05-11,2023-06-06,"2023-06-07","Hatched"
"1080_2023_1","1080",2023-05-13,2023-05-24,"2023-05-26","Predation"
"1082_2023_1","1082",2023-04-24,2023-04-28,"2023-05-05","Predation"
"1087_2024_2","1087",2024-05-14,2024-06-09,"2024-06-10","Hatched"
"1088_2024_2","1088",2024-06-19,2024-07-05,"2024-07-08","Predation"
"1089_2024_1","1089",2024-04-23,2024-04-27,"2024-04-28","Predation"
"1090_2024_1","1090",2024-05-03,2024-05-14,"2024-05-15","Predation"
"1091_2024_1","1091",2024-05-07,2024-06-02,"2024-06-03","Hatched"
"1092_2024_1","1092",2024-05-17,2024-05-22,"2024-05-23","Predation"
"1094_2024_1","1094",2024-04-28,2024-05-23,"2024-05-25","Hatched"
"1096_2024_1","1096",2024-05-31,2024-06-26,"2024-06-27","Hatched"
"1097_2024_1","1097",2024-05-19,2024-06-14,"2024-06-15","Hatched"
"1098_2024_1","1098",2024-05-03,2024-05-28,"2024-05-28","Predation"
"1099_2024_1","1099",2024-05-08,2024-06-03,"2024-06-04","Hatched"
"1100_2024_1","1100",2024-05-12,2024-06-06,"2024-06-07","Hatched"
"1171_2024_1","1171",2024-05-11,2024-05-19,"2024-05-21","Predation"
"1172_2024_2","1172",2024-05-24,2024-05-29,"2024-05-31","Predation"
"1172_2024_3","1172",2024-06-17,2024-06-28,"2024-07-01","Predation"
"1173_2024_1","1173",2024-05-08,2024-05-27,"2024-05-28","Predation"
"1174_2024_4","1174",2024-06-29,2024-07-03,"2024-07-08","Predation"
"1176_2024_1","1176",2024-05-09,2024-05-16,"2024-05-17","Destroyed"
