"NestID","bandid","startI","endI","CheckDate","NestFate"
"0256_2024_1","256",2024-04-08,2024-04-28,"2024-05-02","Predation"
"0260_2024_1","260",2024-06-15,2024-06-18,"2024-07-12","Hatched"
"0261_2024_1","261",2024-05-09,2024-05-30,"2024-06-05","Hatched"
"0262_2024_1","262",2024-05-23,2024-05-29,"2024-07-12","Hatched"
"0263_2024_1","263",2024-04-18,2024-04-25,"2024-05-02","Abandoned"
"0264_2024_1","264",2024-04-27,2024-05-23,"2024-05-24","Hatched"
"0265_2024_1","265",2024-04-22,2024-05-04,"2024-05-19","Hatched"
"0266_2024_1","266",2024-04-20,2024-05-13,"2024-05-17","Hatched"
"0267_2024_1","267",2024-04-06,2024-04-11,"2024-05-03","Hatched"
"0268_2024_1","268",2024-04-21,2024-05-04,"2024-05-18","Predation"
"0269_2024_1","269",2024-05-09,2024-06-01,"2024-06-05","Hatched"
"0270_2024_1","270",2024-04-13,2024-04-20,"2024-04-26","Abandoned"
"0271_2024_1","271",2024-04-16,2024-05-13,"2024-05-13","Hatched"
"0272_2024_1","272",2024-05-08,2024-05-15,"2024-05-31","Predation"
"0273_2024_1","273",2024-04-28,2024-05-22,"2024-05-25","Hatched"
