bandid,Capillaria sp,Eimeria sp,Ascarids,Syngamus sp,Tetrameres sp,Isospora sp,Monocystis sp,Raillietina sp,Choanotaenia sp,Strongylid
4419,0,0,0,0,0,0,0,0,0,0
4660,1,0,0,0,0,0,0,0,0,0
4663,1,1,0,0,0,0,0,0,0,0
4664,1,1,1,0,0,0,0,0,0,0
4851,0,0,0,0,0,0,0,0,0,0
4852,1,1,0,0,0,0,0,0,0,0
4853,0,0,0,0,0,0,0,0,0,0
4854,1,1,0,0,0,0,0,0,0,0
4855,1,1,0,0,0,0,0,0,0,0
4856,1,1,0,0,0,0,0,1,1,0
4857,0,0,1,0,0,0,0,0,0,0
4858,0,0,0,0,0,0,0,0,0,0
4876,1,0,0,0,0,0,0,0,0,0
4927,0,0,0,0,0,0,0,0,0,0
4928,0,0,0,0,0,0,1,0,0,0
4929,0,0,0,0,0,0,0,0,0,0
4930,1,0,0,0,0,0,0,0,0,0
4931,1,1,0,1,0,0,0,0,0,0
4932,0,1,0,0,0,0,0,0,0,0
4934,0,1,0,0,0,0,0,0,0,0
4935,0,0,0,0,0,0,0,0,0,0
4936,1,1,0,0,0,0,0,0,0,0
5280,1,1,1,0,0,0,0,0,0,0
5281,0,0,0,1,0,0,0,0,0,0
5282,0,0,1,1,0,0,0,0,0,0
5286,1,1,1,0,0,0,0,0,0,0
5295,0,1,0,0,0,0,0,0,0,0
5301,0,0,0,0,0,0,0,0,0,0
5302,1,0,0,0,0,0,0,0,0,0
5303,0,0,0,0,0,0,0,0,0,0
5363,0,0,0,0,0,0,0,0,0,0
5365,0,1,1,0,0,0,1,0,0,0
5373,1,0,0,0,0,0,0,0,0,0
5402,0,0,0,0,0,0,0,0,0,0
5405,0,0,0,0,0,0,0,0,0,0
5554,1,0,0,0,0,0,0,0,0,0
5555,1,0,1,0,0,0,0,0,0,0
5558,1,0,1,1,0,0,0,0,0,0
5559,1,1,0,0,0,0,0,0,0,0
5560,0,1,0,0,0,0,0,0,0,0
5562,1,0,0,0,0,0,0,0,0,0
5563,1,0,1,0,0,0,0,0,0,0
5564,1,0,1,0,0,0,0,0,0,0
5565,0,1,1,0,0,0,0,0,0,0
5566,0,0,0,0,0,0,0,0,0,0
5567,0,0,0,0,0,0,0,0,0,0
5601,1,0,0,0,0,0,0,0,0,0
5603,1,1,1,0,0,0,0,0,0,0
5607,1,1,0,0,0,0,0,0,0,0
5608,1,1,1,0,0,0,0,0,0,0
5609,0,0,0,0,0,0,0,0,0,0
5611,1,0,0,1,0,0,0,0,0,0
5613,0,1,0,1,0,0,0,0,0,0
5614,1,0,0,0,0,0,0,0,0,0
5615,1,1,0,0,0,0,0,0,0,0
5616,1,1,0,0,0,0,0,0,0,0
5851,0,0,0,0,0,0,0,0,0,0
5852,0,0,0,0,0,0,0,0,0,0
5853,0,0,0,0,0,0,0,0,0,0
5854,1,0,1,0,0,0,0,0,0,0
5855,0,0,0,0,0,0,0,0,0,0
5856,0,0,0,0,0,0,0,0,0,0
5857,0,0,0,0,0,0,0,0,0,0
5859,0,0,0,0,0,0,0,0,0,0
5860,0,0,0,0,0,0,0,0,0,0
5861,1,0,0,0,0,0,0,0,0,0
5862,0,0,0,0,0,0,0,0,0,0
5863,0,0,0,0,0,0,0,0,0,0
5864,0,0,0,0,0,0,0,0,0,0
5867,0,0,0,0,0,0,0,0,0,0
5869,1,1,0,0,0,0,0,0,0,0
5870,1,1,0,0,0,0,0,0,0,0
5871,1,0,0,0,0,0,0,0,0,0
5873,0,0,0,0,0,0,0,0,0,0
5875,0,1,1,0,0,0,0,0,0,0
5876,0,0,0,0,0,0,0,0,0,0
5877,0,0,0,0,0,0,0,0,0,0
5878,0,1,0,0,0,0,0,0,0,0
5879,1,0,1,0,0,0,0,0,0,0
5880,1,0,1,0,0,0,0,0,0,0
5881,0,1,1,0,0,0,0,0,0,0
5882,1,1,0,0,0,0,0,0,0,0
5888,1,1,1,0,0,0,0,0,0,0
7019,1,0,0,0,0,1,0,0,0,0
8166,0,1,0,0,0,0,0,0,0,0
8172,0,0,0,0,0,0,0,0,0,0
8193,0,0,0,0,0,0,0,0,0,0
8201,1,0,0,0,0,0,0,0,0,0
8202,1,0,0,0,0,0,0,0,0,0
8203,0,1,0,0,0,0,0,0,0,0
8206,0,0,0,0,0,0,0,0,0,0
8225,0,0,0,0,0,0,0,0,0,0
8261,0,1,0,0,0,0,0,0,0,0
8451,0,0,0,0,0,0,0,0,0,0
8452,0,0,0,0,0,0,0,0,0,0
8453,0,0,0,0,0,0,0,0,0,0
8455,0,0,1,0,0,0,0,0,0,0
8456,0,0,0,0,0,0,0,0,0,0
8461,0,0,0,0,0,1,0,0,0,0
8462,0,1,0,0,0,0,0,0,0,0
8463,0,0,0,0,0,0,0,0,0,0
8464,0,0,0,0,0,0,0,0,0,0
8467,0,0,0,0,0,0,0,0,0,0
8468,0,0,0,0,0,0,0,0,0,0
8469,0,0,0,0,0,0,0,0,0,0
8470,0,0,0,0,0,0,0,0,0,0
8471,0,1,0,0,0,0,0,0,0,0
8472,0,0,0,0,0,0,0,0,0,0
8473,0,0,0,0,0,0,0,0,0,0
8474,0,0,0,0,0,0,0,0,0,0
8478,0,0,0,0,0,0,0,0,0,0
8479,0,0,1,0,0,0,0,0,0,0
8482,0,0,0,0,0,0,0,0,0,0
8483,0,0,0,0,0,0,0,0,0,0
8501,0,0,0,0,0,0,0,0,0,0
8502,0,0,0,0,0,0,0,0,0,0
8503,0,0,0,0,0,0,0,0,0,0
8504,0,0,0,0,0,0,0,0,0,0
8505,0,0,0,0,0,0,0,0,0,0
8601,0,0,0,0,0,0,0,0,0,0
8603,0,0,0,0,0,0,0,0,0,0
8604,0,1,0,0,0,0,0,0,0,0
8625,0,0,0,0,0,0,0,0,0,0
8628,0,0,0,0,0,0,0,0,0,0
8629,0,0,0,0,0,0,0,0,0,0
8630,0,1,0,0,0,0,0,0,0,0
8659,0,1,0,0,0,0,0,0,0,0
8662,0,0,1,0,0,0,0,0,0,0
8663,1,1,1,0,0,0,0,0,0,0
8667,0,0,0,0,0,0,0,0,0,0
8670,1,0,0,0,0,0,0,0,0,0
8675,0,1,0,0,0,0,0,0,0,0
8752,1,0,0,0,0,0,0,0,0,0
8753,1,1,0,0,0,0,0,0,0,0
8754,0,1,0,0,0,0,0,0,0,0
8755,0,0,0,0,0,0,0,0,0,0
8756,0,1,0,0,0,0,0,0,0,0
8757,0,0,0,0,0,0,0,0,0,0
8758,0,0,0,0,0,0,0,0,0,0
8759,0,1,0,0,0,0,0,0,0,0
8769,0,0,0,0,0,0,0,0,0,0
8771,0,0,0,0,0,0,0,0,0,0
8773,0,0,1,0,0,0,0,0,0,0
8803,0,0,0,0,0,0,0,0,0,0
8805,0,0,0,0,0,0,0,0,0,0
8807,1,1,0,0,0,0,0,0,0,0
8809,0,0,0,0,0,0,0,0,0,0
8810,0,0,0,0,0,0,0,0,0,0
8811,1,0,0,0,0,0,0,0,0,0
8813,0,0,0,0,0,0,0,0,0,0
8903,0,0,0,0,0,0,0,0,0,0
8906,0,0,0,0,0,0,0,0,0,0
8907,0,1,1,0,1,0,0,0,0,0
8909,0,1,0,0,1,0,0,0,0,0
8952,0,0,0,0,0,0,0,0,0,0
