bandid,checkyr,checkmo,checkday,checkdate,startsearchdate,nestfound,nestid,lat_n,long_n,transmitterid_n,nestnumber,wmu_n,county_n,township_n,landownership_n,eggshatched,eggsunhatched,ageunhatched,eggsdestroyed,nestfate,nestsubfate1,nestsubfate2,nestcomments,unhatchids
4255,2022,5,26,5/26/2022,4/6/2022,Y,4255_2022_1,41.53,-75.4,10095,1,3D,Wayne,South Canaan,Private,0,5,1,3,Destroyed,Human,Agricultural,"Nest was located in a pasture, cattle destroyed 3 of 8 eggs",
4255,2022,7,1,7/1/2022,5/12/2022,Y,4255_2022_2,41.53,-75.4,10095,2,3D,Wayne,South Canaan,Private,0,0,0,2,Destroyed,Human,Agricultural,Nest was in hay field approximately 15 yards from tree line. ACC data shows hen left nest 06/29/22 but has not gone far from location staying within a 150 yard radius from nest. Shell fragments were found but no sign of embryos (estimated age would have been over 2 weeks from beginning of incubation). Crows and ravens were in area scavenging upon arrival. Nest bowl was under/next to raked hay. Two feathers were found within 3 feet of egg fragments.,
4255,2023,5,15,5/15/2023,3/26/2023,Y,4255_2023_1,41.53,-75.39,10095,1,3D,Wayne,South Cannan,Private,0,0,99,0,Predation,Unknown Predator,,No eggs or shells found in or around nest bowl. A few feathers scattered around nest site.,
4255,2023,7,3,7/3/2023,5/14/2023,Y,4255_2023_2,41.52,-75.4,10095,2,3D,Wayne,South Canaan,Private,9,1,99,0,Hatched,,,"10095 began incubating her 2nd nest on 6/4 and hatched on 6/30. 9 of 10 eggs hatched, lone egg submitted to UTenn. Hens GPS points show her crossing an adjacent pond on 7/2. Unknown water level at time bird crossed. ACC and GPS data on 7/3 download exhibits brooding behavior.",PA-4255-1-23-2
4419,2022,5,27,5/27/2022,4/7/2022,Y,4419_2022_1,40.8,-77.5,10126,1,4D,Centre,Penn,Public,11,0,0,0,Hatched,,,Nest in dense laurel with mature oak and downed log as guard objects,
4603,2022,7,12,7/12/2022,5/23/2022,Y,4603_2022_1,40.81,-75.41,10121,1,3D,Northampton,Moore,Private,0,0,0,0,Predation,,,Hen started incubating on 06/16/22 and was projected to hatch on 07/13/22. Zero evidence of eggs found in or around nest bowl.  Pulled feathers with possible saliva found on a few near and around nest bowl.,
4603,2023,5,26,5/26/2023,4/6/2023,Y,4603_2023_1,40.83,-75.4,10121,1,3D,Monroe,Eldred,Public,0,0,99,5,Predation,Unknown Predator,,"Nest bowl was located under a Japanese barberry bush, pieces of eggshell were found in the nest bowl and scattered in a 2m radius. A minimum of 5 eggs were identified but there were likely more.",
4603,2022,5,18,5/18/2022,3/29/2022,N,4603_NoNest_5_18_2022,40.83,-75.4,10121,,3D,Monroe,Eldred,Public,0,0,0,0,Unknown,,,"Nest not found. Search for 1 hour, no sign of nest bowl, eggs or feathers.",
4603,2023,7,17,7/17/2023,5/28/2023,N,4603_NoNest_7_17_2023,,,10121,,3D,Monroe,Eldred,Private,99,99,99,99,,,,"Hen began incubating on 6/21 but abandonment date is unknown die top transmitter exhibiting low battery behavior and not taking ACC/GPS readings. Nest check was initiated after ping was no longer heard in area on 7/17. Based on given GPS location, nest was located in a flower bed along an abandoned house. The area the nest was in was recently excavated. Nest was not located due to the active construction likely destroying nest.",
4605,2022,6,9,6/9/2022,4/20/2022,Y,4605_2022_1,40.84,-75.42,10139,1,3D,Monroe,Eldred,Public,0,0,0,0,Predation,,,Nest Bowl had no sign of eggs or predation.  Located just next to Japanese Barberry bushes on hedge line of two fields.  Hen abandoned nest around 4am on 06/07/22 and returned and left multiple times between 06/07/22 and 06/08/22.  Hen started incubating on 06/01/22.,
