bandid,nestid_v,plottype,surveyyr,surveymo,surveyday,lat_v,long_v,transmitterid_v,nestnumber_v,wmu_v,county_v,township_v,landownership_v,guardobject,guardvo,guardht,averagevo,averagemaxvo,percwoody,percfern,percgrassforb,perclitter,percbare,percboulder,woodyht,fernht,grassforbht,litterht,boulderht,stemcount,woodytype1,woodytype2,vegcomments
8169,8169_2022_1,Nest,2022,5,9,40.75468,-79.33604,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.5,1.2,90,0,0,92.5,0,0,58,20,6,2,41,56,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,North,2022,5,10,40.75562,-79.33608,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.1,0.9,72.5,0,20,92.5,0,5,91,10,20,2,32,77,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,East,2022,5,10,40.75468,-79.3349,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.6,0.9,37.5,0,37.5,97.5,0,0,64,21,25,2,0,53,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,South,2022,5,10,40.75381,-79.33613,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.6,1.7,67.5,0,20,97.5,0,0,25,13,8,2,0,21,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,West,2022,5,10,40.75471,-79.33729,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.1,0.8,30,0,37.5,65,20,0,79,41,15,2,0,82,Non-native Invasive,Grpvines dwn/dead wood,
4698,4698_2022_1,Nest,2022,5,23,41.386338,-74.9651107,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0.1,0.1,32.5,0,0,85,0,20,30,10,8,5,28,24,Grpvines dwn/dead wood,,
4698,4698_2022_1,North,2022,5,23,41.3872331,-74.9653407,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,0.5,27.5,0,0,82.5,0,25,45,12,9,2,28,37,Grpvines dwn/dead wood,,
4698,4698_2022_1,East,2022,5,23,41.3865082,-74.9639969,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,1,70,0,0,85,0,0,30,15,10,2,10,67,Decid. Eric,,
4698,4698_2022_1,South,2022,5,23,41.3855447,-74.9649997,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,0.2,47.5,0,0,87.5,0,0,54,7,5,1,10,76,Grpvines dwn/dead wood,,
4698,4698_2022_1,West,2022,5,23,41.3863011,-74.9662161,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,0.6,30,0,0,85,0,25,83,18,8,1,18,52,Grpvines dwn/dead wood,,This plot bordered a thick patch of hay-scented ferns. It was approximately 10m from 100m plot.
