NestID,BandID,NestYr
1005_2023_1,1005,2023
1006_2023_1,1006,2023
1007_2023_1,1007,2023
1007_2023_2,1007,2023
1013_2024_1,1013,2024
1013_2024_2,1013,2024
1015_2024_1,1015,2024
1018_2024_1,1018,2024
1018_2024_2,1018,2024
1020_2024_1,1020,2024
1021_2024_2,1021,2024
1022_2024_1,1022,2024
1023_2024_1,1023,2024
1024_2024_1,1024,2024
1025_2024_1,1025,2024
1026_2024_1,1026,2024
1026_2024_2,1026,2024
1027_2024_2,1027,2024
10511_2024_1,10511,2024
1051_2023_1,1051,2023
1052_2023_1,1052,2023
1054_2023_1,1054,2023
1055_2023_2,1055,2023
1057_2023_3,1057,2023
1059_2023_1,1059,2023
1064_2023_1,1064,2023
1066_2023_1,1066,2023
1072_2023_2,1072,2023
1072_2024_1,1072,2024
1077_2023_1,1077,2023
1080_2023_1,1080,2023
1087_2024_2,1087,2024
1088_2024_2,1088,2024
1089_2024_1,1089,2024
1090_2024_1,1090,2024
1091_2024_1,1091,2024
1092_2024_1,1092,2024
1094_2024_1,1094,2024
1096_2024_1,1096,2024
1097_2024_1,1097,2024
1098_2024_1,1098,2024
1099_2024_1,1099,2024
1100_2024_1,1100,2024
1171_2024_1,1171,2024
1172_2024_2,1172,2024
1172_2024_3,1172,2024
1173_2024_1,1173,2024
1174_2024_4,1174,2024
1176_2024_1,1176,2024
1178_2024_2,1178,2024
1181_2023_1,1181,2023
1181_2024_1,1181,2024
1186_2023_2,1186,2023
1194_2023_2,1194,2023
1195_2023_2,1195,2023
1195_2024_1,1195,2024
1195_2024_3,1195,2024
1202_2024_1,1202,2024
1203_2024_1,1203,2024
1204_2024_2,1204,2024
1205_2024_1,1205,2024
1205_2024_2,1205,2024
1206_2024_1,1206,2024
1207_2024_1,1207,2024
1208_2024_1,1208,2024
1209_2024_1,1209,2024
1210_2024_1,1210,2024
1211_2024_3,1211,2024
1213_2024_1,1213,2024
1216_2024_1,1216,2024
1252_2023_1,1252,2023
1258_2023_1,1258,2023
1258_2023_2,1258,2023
1261_2023_1,1261,2023
1261_2024_1,1261,2024
1262_2023_1,1262,2023
1263_2023_1,1263,2023
1264_2023_1,1264,2023
1267_2023_1,1267,2023
1268_2023_1,1268,2023
1279_2024_3,1279,2024
1286_2024_1,1286,2024
1291_2024_1,1291,2024
1291_2024_2,1291,2024
1292_2024_1,1292,2024
1294_2024_2,1294,2024
1295_2024_1,1295,2024
1295_2024_2,1295,2024
1297_2024_2,1297,2024
1491_2024_1,1491,2024
1493_2024_1,1493,2024
1494_2024_3,1494,2024
1496_2024_1,1496,2024
1496_2024_2,1496,2024
1497_2024_1,1497,2024
1497_2024_2,1497,2024
1498_2024_1,1498,2024
1500_2024_1,1500,2024
