NestID,BandID,startI,endI,NestFate,geometry
4255_2022_2,4255,2022-06-15,2022-06-29,0,"c(1930571.33604851, 183559.23588841)"
4255_2022_1,4255,2022-05-22,2022-05-25,0,"c(1930604.90310682, 183865.494211043)"
4255_2023_1,4255,2023-05-02,2023-05-13,0,"c(1930641.40774447, 184199.510521021)"
4255_2023_2,4255,2023-06-15,2023-07-01,1,"c(1930325.1348733, 182789.068056124)"
4603_2022_1,4603,2022-06-18,2022-07-11,0,"c(1951815.52180463, 111228.40974194)"
4603_2023_1,4603,2023-05-13,2023-05-22,0,"c(1951920.03034472, 113252.837255305)"
4605_2022_1,4605,2022-06-02,2022-06-07,0,"c(1949857.66047293, 113505.715586403)"
4613_2023_1,4613,2023-04-28,2023-05-03,0,"c(1953686.39446463, 136889.919424335)"
4660_2022_1,4660,2022-05-14,2022-05-28,1,"c(1957682.88768679, 171013.541226629)"
4660_2023_1,4660,2023-06-05,2023-06-21,0,"c(1957607.83191689, 170980.487872235)"
4662_2022_1,4662,2022-05-04,2022-05-27,1,"c(1959170.33040994, 171292.586789643)"
4698_2022_1,4698,2022-05-05,2022-05-09,0,"c(1967827.32223374, 179559.17948356)"
6673_2024_1,6673,2024-04-25,2024-05-01,0,"c(1597602.96652132, 71466.0176013068)"
8168_2023_1,8168,2023-05-25,2023-05-30,0,"c(1650639.6784064, 18991.8254701979)"
8169_2022_1,8169,2022-04-26,2022-05-06,0,"c(1648500.31961668, 20325.4600255785)"
8172_2022_1,8172,2022-05-25,2022-06-11,0,"c(1652299.05529565, 18974.8348441245)"
8173_2022_1,8173,2022-06-09,2022-06-30,1,"c(1653040.96156454, 18115.395588089)"
8175_2023_1,8175,2023-05-26,2023-06-14,0,"c(1652342.07901869, 19481.0588773466)"
8176_2022_2,8176,2022-05-29,2022-06-12,0,"c(1652614.54341922, 19216.6320561606)"
8176_2022_1,8176,2022-05-05,2022-05-12,0,"c(1653081.68000103, 18739.2527733828)"
8176_2023_1,8176,2023-04-21,2023-04-25,0,"c(1653557.88606632, 18038.7161401954)"
8176_2023_2,8176,2023-05-19,2023-06-05,0,"c(1651907.57575094, 17929.8357378647)"
8176_2023_3,8176,2023-07-14,2023-07-25,1,"c(1652736.20002298, 19314.1741191554)"
